Pressure,Temperature,Phase,Author,Starting material,Heating time,Pressure scale,EoS,Pressure medium,Notes
62.1,1879,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
71,2378,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
80.7,2630,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
56,2299,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
57.8,2312,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
67.8,2339,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
41.9,1856,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
110.1,3720,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
81.1,2635,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
88.7,2956,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
99.7,2924,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
101,3074,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
129.5,4470,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
132.7,4440,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
62.5,2159,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
71.8,2629,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
80.7,2720,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
56.1,2402,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
57.9,2350,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
68.3,2464,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
42,1956,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
81.6,2858,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
88.8,3160,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
100.7,3182,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
101,3370,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
63.4,2863,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
63.1,3191,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
73.5,3118,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
72.3,3602,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
