Pressure,Temperature,Phase,Author,Starting material,Heating time,Pressure scale,EoS,Pressure medium,Notes,,,,,,,,,
21.22641509,1236.686391,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,Pt was also present as a secondary pressure scale,,,,,,,,,
21.08490566,1301.775148,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
20.94339623,1408.284024,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
21.22641509,1520.710059,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
21.50943396,1609.467456,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
21.79245283,1680.473373,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
21.79245283,1769.230769,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
22.0754717,1852.071006,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,"stability fields of quartz, cristobalite, coesite ?",,,,
21.6509434,1958.579882,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,literature for melting point of silica ?,,,,
34.10377358,1485.207101,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
34.10377358,1621.301775,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
35.66037736,1266.272189,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
35.66037736,1420.118343,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
35.66037736,1556.213018,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
35.37735849,1686.390533,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
35.51886792,1798.816568,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
36.08490566,1899.408284,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
35.80188679,2011.83432,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
35.94339623,2088.757396,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
39.62264151,1426.035503,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
39.48113208,1473.372781,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
39.48113208,1591.715976,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
39.48113208,1674.556213,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
40.04716981,1786.982249,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
