Pressure,Temperature,Phase,Author,Method,
62.1,1879,hcp,Morard (2018),static,
71,2378,hcp,Morard (2018),static,
80.7,2630,hcp,Morard (2018),static,
56,2299,hcp,Morard (2018),static,
57.8,2312,hcp,Morard (2018),static,
67.8,2339,hcp,Morard (2018),static,
41.9,1856,hcp,Morard (2018),static,
110.1,3720,hcp,Morard (2018),static,
81.1,2635,hcp,Morard (2018),static,
88.7,2956,hcp,Morard (2018),static,
99.7,2924,hcp,Morard (2018),static,
101,3074,hcp,Morard (2018),static,
129.5,4470,hcp,Morard (2018),static,
132.7,4440,hcp,Morard (2018),static,
62.5,2159,fcc,Morard (2018),static,
71.8,2629,fcc,Morard (2018),static,
80.7,2720,fcc,Morard (2018),static,
56.1,2402,fcc,Morard (2018),static,
57.9,2350,fcc,Morard (2018),static,
68.3,2464,fcc,Morard (2018),static,
42,1956,fcc,Morard (2018),static,
81.6,2858,fcc,Morard (2018),static,
88.8,3160,fcc,Morard (2018),static,
100.7,3182,fcc,Morard (2018),static,
101,3370,fcc,Morard (2018),static,
63.4,2863,liquid,Morard (2018),static,
63.1,3191,liquid,Morard (2018),static,
73.5,3118,liquid,Morard (2018),static,
72.3,3602,liquid,Morard (2018),static,
56.7,2788,liquid,Morard (2018),static,
42.8,2651,liquid,Morard (2018),static,
43,2950,liquid,Morard (2018),static,
59,2980,liquid,Morard (2018),static,
110.5,3920,liquid,Morard (2018),static,
82.9,3463,liquid,Morard (2018),static,
89,3460,liquid,Morard (2018),static,
102,3490,liquid,Morard (2018),static,
101,3530,liquid,Morard (2018),static,
130,4710,liquid,Morard (2018),static,
133,4700,liquid,Morard (2018),static,
12,1493,fcc,Shen (1998),static,
12,1798,fcc,Shen (1998),static,
23.2,1888,fcc,Shen (1998),static,
23.1,1700,fcc,Shen (1998),static,
23.1,1395,fcc,Shen (1998),static,
23.1,2229,fcc,Shen (1998),static,
29.1,2300,fcc,Shen (1998),static,
30.2,2453,fcc,Shen (1998),static,
29.3,1798,fcc,Shen (1998),static,
29.1,1448,fcc,Shen (1998),static,
38.2,1996,fcc,Shen (1998),static,
38.2,2094,fcc,Shen (1998),static,
38.2,2399,fcc,Shen (1998),static,
39.1,2489,fcc,Shen (1998),static,
42.2,2516,fcc,Shen (1998),static,
46.2,2534,fcc,Shen (1998),static,
46.2,2291,fcc,Shen (1998),static,
12.1,1960,fcc,Shen (1998),static,
50.2,2291,fcc,Shen (1998),static,
55.2,2498,fcc,Shen (1998),static,
84,1484,hcp,Shen (1998),static,
80,1484,hcp,Shen (1998),static,
84,1996,hcp,Shen (1998),static,
75.1,1996,hcp,Shen (1998),static,
84,2471,hcp,Shen (1998),static,
80,2489,hcp,Shen (1998),static,
75.1,2489,hcp,Shen (1998),static,
80.2,2794,hcp,Shen (1998),static,
80.2,2892,hcp,Shen (1998),static,
75.2,2785,hcp,Shen (1998),static,
75.1,2991,hcp,Shen (1998),static,
68.1,2857,hcp,Shen (1998),static,
68.1,2489,hcp,Shen (1998),static,
60.1,2372,hcp,Shen (1998),static,
60.1,2193,hcp,Shen (1998),static,
52.1,2390,hcp,Shen (1998),static,
55.2,2193,hcp,Shen (1998),static,
46.2,2148,hcp,Shen (1998),static,
68.1,2193,hcp,Shen (1998),static,
68.1,1996,hcp,Shen (1998),static,
60.1,1798,hcp,Shen (1998),static,
55.2,1996,hcp,Shen (1998),static,
52.1,1798,hcp,Shen (1998),static,
46.2,1843,hcp,Shen (1998),static,
38.2,1798,hcp,Shen (1998),static,
46.2,1592,hcp,Shen (1998),static,
52.1,1493,hcp,Shen (1998),static,
52.1,2193,fcc,Shen (1998),static,
12,2076,liquid,Shen (1998),static,
23.1,2372,liquid,Shen (1998),static,
42.2,2901,liquid,Shen (1998),static,
46.1,2722,liquid,Shen (1998),static,
136.7,2680,hcp,Tateno (2010),static,
136.7,2884,hcp,Tateno (2010),static,
135.3,3088,hcp,Tateno (2010),static,
134.6,3224,hcp,Tateno (2010),static,
207,2912,hcp,Tateno (2010),static,
213.1,3524,hcp,Tateno (2010),static,
211.1,3850,hcp,Tateno (2010),static,
210.4,4122,hcp,Tateno (2010),static,
221.3,2612,hcp,Tateno (2010),static,
241.1,2667,hcp,Tateno (2010),static,
239.8,3075,hcp,Tateno (2010),static,
239.8,3456,hcp,Tateno (2010),static,
241.8,3796,hcp,Tateno (2010),static,
287.5,1959,hcp,Tateno (2010),static,
288.9,2463,hcp,Tateno (2010),static,
291,3061,hcp,Tateno (2010),static,
291,3660,hcp,Tateno (2010),static,
322.4,2313,hcp,Tateno (2010),static,
322.4,2789,hcp,Tateno (2010),static,
318.9,2857,hcp,Tateno (2010),static,
318.3,3238,hcp,Tateno (2010),static,
318.3,3551,hcp,Tateno (2010),static,
316.2,3918,hcp,Tateno (2010),static,
333.3,2490,hcp,Tateno (2010),static,
328.5,2857,hcp,Tateno (2010),static,
329.2,3048,hcp,Tateno (2010),static,
333.3,3061,hcp,Tateno (2010),static,
333.3,3265,hcp,Tateno (2010),static,
330.5,3320,hcp,Tateno (2010),static,
324.4,3361,hcp,Tateno (2010),static,
326.5,3959,hcp,Tateno (2010),static,
334.6,3905,hcp,Tateno (2010),static,
335.3,3918,hcp,Tateno (2010),static,
338.1,3755,hcp,Tateno (2010),static,
344.2,3605,hcp,Tateno (2010),static,
349,3796,hcp,Tateno (2010),static,
345.6,3891,hcp,Tateno (2010),static,
338.1,4122,hcp,Tateno (2010),static,
340.1,4299,hcp,Tateno (2010),static,
331.9,4408,hcp,Tateno (2010),static,
329.9,4653,hcp,Tateno (2010),static,
334,4871,hcp,Tateno (2010),static,
337.4,4939,hcp,Tateno (2010),static,
346.2,4966,hcp,Tateno (2010),static,
336.7,4612,hcp,Tateno (2010),static,
344.2,4694,hcp,Tateno (2010),static,
348.3,4286,hcp,Tateno (2010),static,
331.2,5129,hcp,Tateno (2010),static,
349,5320,hcp,Tateno (2010),static,
355.8,5524,hcp,Tateno (2010),static,
364.7,5020,hcp,Tateno (2010),static,
371.5,5075,hcp,Tateno (2010),static,
370.8,5401,hcp,Tateno (2010),static,
376.3,5687,hcp,Tateno (2010),static,
367.4,4776,hcp,Tateno (2010),static,
367.4,4490,hcp,Tateno (2010),static,
368.8,4082,hcp,Tateno (2010),static,
361.9,3238,hcp,Tateno (2010),static,
361.9,2626,hcp,Tateno (2010),static,
362.6,2163,hcp,Tateno (2010),static,
20,2812,liquid,Jackson (2013),static,
28,2919,liquid,Jackson (2013),static,
37.1,3250,liquid,Jackson (2013),static,
40,3104,liquid,Jackson (2013),static,
49.1,3338,liquid,Jackson (2013),static,
50.1,3464,liquid,Jackson (2013),static,
61,3756,liquid,Jackson (2013),static,
82.1,4039,liquid,Jackson (2013),static,
60.3,300,hcp,Kuwayama (2008),static,
63.4,1400,hcp,Kuwayama (2008),static,
85.9,300,hcp,Kuwayama (2008),static,
88.2,1400,hcp,Kuwayama (2008),static,
89.9,1700,hcp,Kuwayama (2008),static,
90.7,2000,hcp,Kuwayama (2008),static,
65.8,300,hcp,Kuwayama (2008),static,
65.3,1400,hcp,Kuwayama (2008),static,
81.1,300,hcp,Kuwayama (2008),static,
80.4,1400,hcp,Kuwayama (2008),static,
93.2,300,hcp,Kuwayama (2008),static,
100,300,hcp,Kuwayama (2008),static,
102,1400,hcp,Kuwayama (2008),static,
118,300,hcp,Kuwayama (2008),static,
119,1400,hcp,Kuwayama (2008),static,
166,300,hcp,Kuwayama (2008),static,
188,300,hcp,Kuwayama (2008),static,
187,1400,hcp,Kuwayama (2008),static,
186,1700,hcp,Kuwayama (2008),static,
225,300,hcp,Kuwayama (2008),static,
215,1400,hcp,Kuwayama (2008),static,
211,1700,hcp,Kuwayama (2008),static,
212,2000,hcp,Kuwayama (2008),static,
210,2300,hcp,Kuwayama (2008),static,
97.2,300,hcp,Kuwayama (2008),static,
169,300,hcp,Kuwayama (2008),static,
196,300,hcp,Kuwayama (2008),static,
215,300,hcp,Kuwayama (2008),static,
224,1400,hcp,Kuwayama (2008),static,
225,1700,hcp,Kuwayama (2008),static,
237,300,hcp,Kuwayama (2008),static,
246,300,hcp,Kuwayama (2008),static,
267,300,hcp,Kuwayama (2008),static,
273,1400,hcp,Kuwayama (2008),static,
275,1700,hcp,Kuwayama (2008),static,
277,2000,hcp,Kuwayama (2008),static,
229,300,hcp,Kuwayama (2008),static,
241,300,hcp,Kuwayama (2008),static,
246,1400,hcp,Kuwayama (2008),static,
247,1700,hcp,Kuwayama (2008),static,
244,300,hcp,Kuwayama (2008),static,
272,300,hcp,Kuwayama (2008),static,
298,300,hcp,Kuwayama (2008),static,
302,1400,hcp,Kuwayama (2008),static,
301,1700,hcp,Kuwayama (2008),static,
301,2000,hcp,Kuwayama (2008),static,
231,300,hcp,Kuwayama (2008),static,
255,300,hcp,Kuwayama (2008),static,
277,300,hcp,Kuwayama (2008),static,
288,300,hcp,Kuwayama (2008),static,
307,300,hcp,Kuwayama (2008),static,
315,300,hcp,Kuwayama (2008),static,
319,300,hcp,Kuwayama (2008),static,
