Pressure,Temperature,Phase,Author,Method
400,9000,B1,McWilliams (2012),dynamic
480,9000,B2,McWilliams (2012),dynamic
650,15100,Liquid,McWilliams (2012),dynamic
650,12900,B2,McWilliams (2012),dynamic
470,10670,Liquid,Bolis (2016),dynamic
470,9050,B2,Bolis (2016),dynamic
0,3340,Liquid,Zerr (1994),static
7.6,3537,Liquid,Zerr (1994),static
12.5,3781,Liquid,Zerr (1994),static
15,3755,Liquid,Zerr (1994),static
18,3888,Liquid,Zerr (1994),static
22.3,4121,Liquid,Zerr (1994),static
25.1,3930,Liquid,Zerr (1994),static
31.6,4264,Liquid,Zerr (1994),static
0,2740,B1,Zerr (1994),static
7.6,2937,B1,Zerr (1994),static
12.5,3181,B1,Zerr (1994),static
15,3155,B1,Zerr (1994),static
18,3288,B1,Zerr (1994),static
22.3,3521,B1,Zerr (1994),static
25.1,3330,B1,Zerr (1994),static
31.6,3664,B1,Zerr (1994),static
0,3098,Liquid,Dubrovinsky (1997),static
20.5,2015,B1,Dewaele (2000),static
19.7,2227,B1,Dewaele (2000),static
21.3,2474,B1,Dewaele (2000),static
22.5,2188,B1,Dewaele (2000),static
23.9,2000,B1,Dewaele (2000),static
24.5,2349,B1,Dewaele (2000),static
31.3,1900,B1,Dewaele (2000),static
31.7,2008,B1,Dewaele (2000),static
31.4,2097,B1,Dewaele (2000),static
53,1964,B1,Dewaele (2000),static
25.5,1750,B1,Dewaele (2000),static
25,2000,B1,Dewaele (2000),static
24,1934,B1,Dewaele (2000),static
23.7,2110,B1,Dewaele (2000),static
24,2160,B1,Dewaele (2000),static
15.5,1750,B1,Dewaele (2000),static
16.2,1927,B1,Dewaele (2000),static
13.6,1865,B1,Dewaele (2000),static
51.9,1870,B1,Dewaele (2000),static
52.6,1928,B1,Dewaele (2000),static
52.1,1900,B1,Dewaele (2000),static
44.5,2223,B1,Dewaele (2000),static
42.6,2050,B1,Dewaele (2000),static
42.2,2064,B1,Dewaele (2000),static
41.5,1950,B1,Dewaele (2000),static
48,1908,B1,Dewaele (2000),static
48.4,2066,B1,Dewaele (2000),static
48.2,2067,B1,Dewaele (2000),static
48.2,2050,B1,Dewaele (2000),static
52.5,1966,B1,Dewaele (2000),static
51.6,1849,B1,Dewaele (2000),static
29.3,1980,B1,Dewaele (2000),static
28.3,1950,B1,Dewaele (2000),static
35,2040,B1,Dewaele (2000),static
35,1975,B1,Dewaele (2000),static
37,2250,B1,Dewaele (2000),static
34.8,2210,B1,Dewaele (2000),static
34.7,2320,B1,Dewaele (2000),static
34.2,2374,B1,Dewaele (2000),static
31.4,2315,B1,Dewaele (2000),static
43.6,2200,B1,Dewaele (2000),static
36.2,300,B1,Dewaele (2000),static
39.2,300,B1,Dewaele (2000),static
44.7,300,B1,Dewaele (2000),static
24.3,300,B1,Dewaele (2000),static
19.5,300,B1,Dewaele (2000),static
15.7,300,B1,Dewaele (2000),static
12.9,300,B1,Dewaele (2000),static
0.8,300,B1,Dewaele (2000),static
11.5,300,B1,Dewaele (2000),static
0,300,B1,Dewaele (2000),static
15.1,300,B1,Dewaele (2000),static
