Pressure,Temperature,Phase,Author,Method
15.5,1673,Clinoenstatite,Sawamoto1987,static
16,1473,Clinoenstatite,Sawamoto1987,static
16,1673,Wadsleyite+Stishovite,Sawamoto1987,static
16,1873,Clinoenstatite,Sawamoto1987,static
16.5,1373,Ringwoodite+Stishovite,Sawamoto1987,static
16.9,1973,Majorite,Sawamoto1987,static
17,1613,Ringwoodite+Stishovite,Sawamoto1987,static
17,1773,Ringwoodite+Stishovite,Sawamoto1987,static
17,2073,Clinoenstatite,Sawamoto1987,static
17,2273,Clinoenstatite,Sawamoto1987,static
17.3,2173,Majorite,Sawamoto1987,static
17.5,1773,Ringwoodite+Stishovite,Sawamoto1987,static
18,1573,Ringwoodite+Stishovite,Sawamoto1987,static
18,1673,Wadsleyite+Stishovite,Sawamoto1987,static
18,1973,Majorite,Sawamoto1987,static
18,1973,Wadsleyite+Stishovite,Sawamoto1987,static
18,2073,Majorite,Sawamoto1987,static
18,2373,Majorite,Sawamoto1987,static
18.5,1923,Wadsleyite+Stishovite,Sawamoto1987,static
18.5,1973,Wadsleyite+Stishovite,Sawamoto1987,static
18.5,2023,Wadsleyite+Stishovite,Sawamoto1987,static
18.5,2023,Majorite,Sawamoto1987,static
18.5,2073,Majorite,Sawamoto1987,static
19,1773,Wadsleyite+Stishovite,Sawamoto1987,static
19,1973,Wadsleyite+Stishovite,Sawamoto1987,static
19.6,1823,Akimotoite,Sawamoto1987,static
19.6,1823,Ringwoodite+Stishovite,Sawamoto1987,static
19.6,1823,Wadsleyite+Stishovite,Sawamoto1987,static
19.6,1973,Wadsleyite+Stishovite,Sawamoto1987,static
19.6,2093,Majorite,Sawamoto1987,static
20,1523,Ringwoodite+Stishovite,Sawamoto1987,static
0,273,Ringwoodite+Stishovite,Sawamoto1987,static
20,1673,Akimotoite,Sawamoto1987,static
20,1773,Akimotoite,Sawamoto1987,static
20,2033,Akimotoite,Sawamoto1987,static
20,2273,Majorite,Sawamoto1987,static
20,2373,Majorite,Sawamoto1987,static
20.5,1473,Akimotoite,Sawamoto1987,static
21,2073,Akimotoite,Sawamoto1987,static
21,2173,Akimotoite,Sawamoto1987,static
21.7,2273,Akimotoite,Sawamoto1987,static
21,2173,Majorite,Sawamoto1987,static
21.7,2273,Majorite,Sawamoto1987,static
21.7,2373,Majorite,Sawamoto1987,static
22,2133,Akimotoite,Sawamoto1987,static
