Pressure,Temperature,Phase,Author,Method
21.2,1237,Stishovite,Fischer (2018),static
21.1,1302,Stishovite,Fischer (2018),static
20.9,1408,Stishovite,Fischer (2018),static
21.2,1521,Stishovite,Fischer (2018),static
21.5,1609,Stishovite,Fischer (2018),static
21.8,1680,Stishovite,Fischer (2018),static
21.8,1769,Stishovite,Fischer (2018),static
22.1,1852,Stishovite,Fischer (2018),static
21.7,1959,Stishovite,Fischer (2018),static
34.1,1485,Stishovite,Fischer (2018),static
34.1,1621,Stishovite,Fischer (2018),static
35.7,1266,Stishovite,Fischer (2018),static
35.7,1420,Stishovite,Fischer (2018),static
35.7,1556,Stishovite,Fischer (2018),static
35.4,1686,Stishovite,Fischer (2018),static
35.5,1799,Stishovite,Fischer (2018),static
36.1,1899,Stishovite,Fischer (2018),static
35.8,2012,Stishovite,Fischer (2018),static
35.9,2089,Stishovite,Fischer (2018),static
39.6,1426,Stishovite,Fischer (2018),static
39.5,1473,Stishovite,Fischer (2018),static
39.5,1592,Stishovite,Fischer (2018),static
39.5,1675,Stishovite,Fischer (2018),static
40,1787,Stishovite,Fischer (2018),static
40,1852,Stishovite,Fischer (2018),static
39.9,1917,Stishovite,Fischer (2018),static
40,2083,Stishovite,Fischer (2018),static
40,2231,Stishovite,Fischer (2018),static
40,2278,Stishovite,Fischer (2018),static
39.6,2325,Stishovite,Fischer (2018),static
40.2,2402,Stishovite,Fischer (2018),static
40,2503,Stishovite,Fischer (2018),static
40.2,2645,Stishovite,Fischer (2018),static
40,3006,Stishovite,Fischer (2018),static
47.1,1142,Stishovite,Fischer (2018),static
47.7,1237,Stishovite,Fischer (2018),static
47.5,1302,Stishovite,Fischer (2018),static
47.7,1408,Stishovite,Fischer (2018),static
47.7,1479,Stishovite,Fischer (2018),static
47.7,1615,Stishovite,Fischer (2018),static
47.8,1698,Stishovite,Fischer (2018),static
47.7,1769,Stishovite,Fischer (2018),static
47.7,1870,Stishovite,Fischer (2018),static
47.1,1964,Stishovite,Fischer (2018),static
47.8,2077,Stishovite,Fischer (2018),static
48.1,2189,Stishovite,Fischer (2018),static
48.1,2284,Stishovite,Fischer (2018),static
48.4,2355,Stishovite,Fischer (2018),static
48.4,2527,Stishovite,Fischer (2018),static
48.3,2704,Stishovite,Fischer (2018),static
48.3,2834,Stishovite,Fischer (2018),static
56.9,1172,Stishovite,Fischer (2018),static
56.9,1290,Stishovite,Fischer (2018),static
56.9,1379,Stishovite,Fischer (2018),static
57.2,1509,Stishovite,Fischer (2018),static
57.2,1568,Stishovite,Fischer (2018),static
